# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,223,524262,4810,966780,1322279,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,307,,,,0,4797,0,0,2580,0,,0,419,7380,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,304,4810,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,12,,2481,174492,233266,,0,,366,9,1149,0,UP,1,1,0,24,8,30,48,,1,3,1,,1332,,2,0,,109,L4OK,,0,0,961,0,0,0,0,,,,961,0,0,,,,,27,,,0,46,4,484,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,2481,0,,,0,,0,3007,49,4070,0,0,0,0,12,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server2,0,0,0,4,,1633,124057,161461,,0,,186,3,686,0,UP,1,1,0,22,8,30,60,,1,3,2,,947,,2,0,,81,L4OK,,0,0,759,0,0,0,0,,,,759,0,0,,,,,26,,,0,164,3,478,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,1633,0,,,0,,0,3019,502,6007,0,0,0,0,4,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server3,0,0,0,23,,2058,171741,219818,,0,,191,18,747,0,UP,1,1,0,19,6,30,58,,1,3,3,,1311,,2,0,,201,L4OK,,0,0,1110,0,0,0,0,,,,1110,0,1,,,,,26,,,0,171,5,560,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,2058,0,,,0,,0,3006,63,6007,0,0,0,0,23,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server4,0,0,0,41,,2554,162702,220864,,0,,392,25,1312,0,DOWN,1,1,0,23,7,23,81,,1,3,4,,1242,,2,0,,212,L4CON,,0,0,837,0,0,0,0,,,,837,0,0,,,,,26,Connection refused,,0,198,6,658,,,,Layer4 connection problem,,2,3,0,,,,,,http,,,,,,,,0,2554,0,,,0,,0,3012,502,5008,0,0,0,0,41,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,server5,0,0,0,32,,2430,187723,244915,,0,,292,18,997,0,UP,1,1,0,23,7,31,48,,1,3,5,,1433,,2,0,,159,L4OK,,0,0,1130,0,0,0,0,,,,1130,0,2,,,,,26,,,0,139,6,669,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,2430,0,,,0,,0,3007,502,7008,0,0,0,0,32,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,BACKEND,0,0,0,176,52427,7380,966780,1322279,0,0,,2542,73,4891,0,UP,4,4,0,,6,31,23,,1,3,0,,6265,,1,0,,419,,,,0,4797,0,0,2580,0,,,,7377,0,3,0,0,0,0,26,,,0,135,4,744,,,,,,,,,,,,,,http,,,,,,,,0,11156,0,0,0,,,0,3019,502,7008,0,,,,,4,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,FRONTEND,,,1,1,524262,2,14721,1055787,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,1,,,,0,37,0,0,0,0,,1,2,38,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,1,2,38,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,BACKEND,0,0,0,0,52427,0,14721,1055787,0,0,,0,0,0,0,UP,0,0,0,,0,185,,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,345,,,,,,,,,,,,,,http,,,,,,,,0,0,0,0,0,,,0,0,0,5587,0,,,,,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
