# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,wrew,connect,reuse,cache_lookups,cache_hits,srv_icur,src_ilim,qtime_max,ctime_max,rtime_max,ttime_max,eint,idle_conn_cur,safe_conn_cur,used_conn_cur,need_conn_est,uweight,agg_server_status,agg_server_check_status,agg_check_status,-,ssl_sess,ssl_reused_sess,ssl_failed_handshake,h2_headers_rcvd,h2_data_rcvd,h2_settings_rcvd,h2_rst_stream_rcvd,h2_goaway_rcvd,h2_detected_conn_protocol_errors,h2_detected_strm_protocol_errors,h2_rst_stream_resp,h2_goaway_resp,h2_open_connections,h2_backend_open_streams,h2_total_connections,h2_backend_total_streams,
RejsRundt,FRONTEND,,,0,293,524264,2283,1972991,3146764,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,0,0,265,,,,0,2033,0,0,13013,0,,0,329,15061,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,265,2283,0,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Servers,server1,0,0,0,66,,17629,751809,1123890,,0,,3657,61,11890,0,UP,1,1,0,43,15,47,104,,1,3,1,,5739,,2,0,,421,L4OK,,0,0,2033,0,0,0,0,,,,2033,0,10,,,,,43,,,0,292,3,1127,,,,Layer4 check passed,,2,3,4,,,,,,http,,,,,,,,0,17629,0,,,0,,0,4028,216,7008,0,0,0,0,66,1,,,,-,0,0,0,,,,,,,,,,,,,,
Servers,BACKEND,0,0,0,282,52427,15061,1972991,3146764,0,0,,12979,61,11890,0,UP,1,1,0,,15,47,104,,1,3,0,,5739,,1,0,,329,,,,0,2033,0,0,13013,0,,,,15046,0,10,0,0,0,0,43,,,0,291,3,1115,,,,,,,,,,,,,,http,,,,,,,,0,17629,0,0,0,,,0,4028,216,7008,0,,,,,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,FRONTEND,,,1,1,524264,1,21278,1043023,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,1,,,,0,51,0,0,0,0,,1,1,52,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,1,1,52,0,0,0,,,0,0,,,,,,,0,,,,,,,,,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
stats,BACKEND,0,0,0,0,52427,0,21278,1043023,0,0,,0,0,0,0,UP,0,0,0,,0,273,,,1,4,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,482,,,,,,,,,,,,,,http,,,,,,,,0,0,0,0,0,,,0,0,0,5602,0,,,,,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
